Year;areaname;Raster;Artificial surfaces;Agricultural areas;Forest and semi natural areas;Wetlands;Water bodies
2000;itäsuomi;CLC2000ACC_V2018_20_cog;45043;241986;3249482;32178;1011712
2006;itäsuomi;CLC2006ACC_V2018_20_cog;46091;245035;3246179;31384;1011712
2012;itäsuomi;CLC2012ACC_V2018_20_cog;48092;243626;3244156;32827;1011700
2018;itäsuomi;CLC2018ACC_V2018_20_cog;49102;245171;3240890;33538;1011700
