Year;areaname;Raster
2000;Puola;CLC2000_finland_harmonized_20m_cog
2006;Puola;CLC2006_finland_harmonized_20m_cog
2012;Puola;CLC2012_finland_harmonized_20m_cog
2018;Puola;CLC2018_finland_harmonized_20m_cog
