Year;areaname;Raster;Artificial surfaces;Agricultural areas;Forest and semi natural areas;Wetlands;Water bodies
2000;Länsisuomi;CLC2000ACC_V2018_20_cog;45180;356195;1421476;51722;187622
2006;Länsisuomi;CLC2006ACC_V2018_20_cog;46237;360489;1417979;49868;187622
2012;Länsisuomi;CLC2012ACC_V2018_20_cog;47322;359876;1416900;50475;187622
2018;Länsisuomi;CLC2018ACC_V2018_20_cog;47437;361179;1414824;51145;187610
