Year;areaname;Raster;Artificial surfaces;Agricultural areas;Forest and semi natural areas;Wetlands;Water bodies
2000;Puola;CLC2000ACC_V2018_20_cog;684841;6504231;2954582;43311;153554
2006;Puola;CLC2006ACC_V2018_20_cog;687774;6495559;2958355;43244;155587
2012;Puola;CLC2012ACC_V2018_20_cog;706386;6465797;2968510;43199;156627
2018;Puola;CLC2018ACC_V2018_20_cog;721294;6450612;2967290;43176;158147
