Year;areaname;Raster;Artificial surfaces;Agricultural areas;Forest and semi natural areas;Wetlands;Water bodies
2000;Lappi;CLC2000ACC_V2018_20_cog;4158;6925;1529649;365170;74956
2006;Lappi;CLC2006ACC_V2018_20_cog;4292;7261;1529278;365071;74956
2012;Lappi;CLC2012ACC_V2018_20_cog;4712;7126;1529013;365051;74956
2018;Lappi;CLC2018ACC_V2018_20_cog;4765;7118;1528950;365069;74956
